,status_id,user_id,created_at,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang
25300840,1254491641701961728,16083576,2020-04-26T19:24:49Z,CBSPhilly,"#CORONAVIRUS LATEST: The number of coronavirus cases in #Delaware has risen over 4,000 as the death toll now stands at 120. https://t.co/xCOsGCEiMz",Twitter Web App,,,,False,False,4392,2,,,,196262,1275,,2008-09-01T15:25:37Z,True,en
25322150,1254513950512857090,802616686352498689,2020-04-26T20:53:28Z,KaeDalious,"Governor John Carney Of Delaware

There is no #COVID19 Epidemic let alone a Pandemic in Delaware. #EndTheLockdown https://t.co/4b6bHNXuBl",Twitter for iPhone,,,,False,False,241383,0,,,,17444,15359,,2016-11-26T20:55:04Z,False,en
25330107,1254523452448559104,802616686352498689,2020-04-26T21:31:13Z,KaeDalious,"@RealEricCarmen Governor John Carney Of Delaware

There is no #COVID19 Epidemic let alone a Pandemic in Delaware. #EndTheLockdown https://t.co/oHCNJgabWl",Twitter for iPhone,1.25450949498744e+18,85498982.0,RealEricCarmen,False,False,241383,3,,,,17444,15359,,2016-11-26T20:55:04Z,False,en
25340606,1254537579568992257,1514270551,2020-04-26T22:27:21Z,iRooah,"Beginning 8 a.m Tuesday, the face mask will be a compulsory requirement for all Delawareans especially in public places like the grocery stores, pharmacies and commuters.

It is part of Gov. @JohnCarneyDE modification to his state of emergency order.

#Rooah! #Delaware #Covid19 https://t.co/FsDPAKe4Za",Crowdfire App,,,,False,False,145,0,,,,38,82,,2013-06-13T19:27:34Z,False,en
25348812,1254549807663853568,2887557934,2020-04-26T23:15:57Z,6abcAnnie,A Delaware County nurse placed drawings from her kids in her hotel window. Because of her son’s medical condition she has to quarantine from her family while she treats #COVID19 patients. Her story at 10/11 @6abc https://t.co/qKuMD5WxQa,Twitter for iPhone,,,,False,False,4781,5,,,,9487,1567,,2014-11-22T00:33:19Z,True,en
25354809,1254559635907981314,538369738,2020-04-26T23:55:00Z,DHIN_HIE,"📰 Delawareans can get the latest #coronavirus information from @Delaware_DHSS 

☑️ Delawareans can get #coronavirus news updates from reporters incl. @acherry13 @MereNewman @nickciolino @Nick_Ciolino @tfurlong @SarahGamard @MatthewCBittle @JeanneKuang 

#deCOVID #netDE",Sprout Social,,,,False,False,2426,2,,,,2408,2994,,2012-03-27T18:09:02Z,False,en
25365788,1254580024465928192,538369738,2020-04-27T01:16:01Z,DHIN_HIE,"Please follow all recommendations to help prevent #coronavirus spread including wash your hands for 20 seconds w/ soap, stay home if you are sick, practice social distancing, clean surfaces regularly, and cough into your elbow or a tissue. #deCOVID @delaware_DHSS #netDE https://t.co/yE7OCLhCqB",Sprout Social,,,,False,False,2426,0,,,,2408,2994,,2012-03-27T18:09:02Z,False,en
25369286,1254588099625017349,236510272,2020-04-27T01:48:06Z,BeastQuake,"States with the biggest 24-hour percentage rise in #COVID19 cases are Delaware, Nebraska and North Dakota.",Twitter Web App,,,,False,False,1972,0,,,,266,795,,2011-01-10T19:13:51Z,False,en
25373152,1254596130165358592,538369738,2020-04-27T02:20:01Z,DHIN_HIE,"PLEASE RETWEET: We all need to do our part to flatten the curve, so please stay at home as much as possible. #Coronavirus  #COVID-19 #deCOVID #netDE @Delaware_DHSS https://t.co/c8ofPaeCcM",Sprout Social,,,,False,False,2426,5,,,,2408,2994,,2012-03-27T18:09:02Z,False,en
25385986,1254620662016151553,466761060,2020-04-27T03:57:30Z,DESafetyCouncil,"For all of #DEsafety, Governor @JohnCarneyDE  now requires Delawareans to wear face coverings. Please, #StayatHomeDE. #WereAllinthisTogether #netDE #coronavirusde #COVID19 
https://t.co/cnSmkoHtMv https://t.co/DUCCuzTwLW",eClincher,,,,False,False,252,0,,,,349,357,,2012-01-17T19:21:40Z,False,en
